Date,Symbol,Company Name,Sector,Sub-Industry,Founded,Previous Close,New Close,Change (%)
2024-07-26,MMM,3M,Industrials,Industrial Conglomerates,1902,103.39,127.16,22.99
2024-11-11,ABBV,AbbVie,Health Care,Biotechnology,2013 (1888),199.5,174.43,-12.57
2024-06-14,ADBE,Adobe Inc.,Information Technology,Application Software,1982,458.74,525.31,14.51
2024-12-12,ADBE,Adobe Inc.,Information Technology,Application Software,1982,549.93,474.63,-13.69
2025-03-13,ADBE,Adobe Inc.,Information Technology,Application Software,1982,438.6,377.84,-13.85
2024-07-17,AMD,Advanced Micro Devices,Information Technology,Semiconductors,1969,177.55,159.43,-10.21
2024-10-30,AMD,Advanced Micro Devices,Information Technology,Semiconductors,1969,166.25,148.6,-10.62
2024-07-15,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,1981,18.89,17.0,-10.01
2024-11-01,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,1981,16.49,14.71,-10.79
2025-02-28,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,1981,10.38,11.59,11.66
2024-08-07,ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2008,130.47,113.01,-13.38
2025-02-14,ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2008,141.04,161.42,14.45
2024-05-10,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,1998,102.46,91.19,-11.0
2024-08-09,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,1998,91.57,101.51,10.86
2024-11-08,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,1998,104.4,89.37,-14.4
2025-02-21,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,1998,98.03,76.73,-21.73
2024-09-11,ALB,Albemarle Corporation,Materials,Specialty Chemicals,1994,78.62,89.3,13.58
2024-04-26,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,1998,156.0,171.95,10.22
2024-11-06,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,1894,513.95,567.43,10.41
2024-05-03,AMGN,Amgen,Health Care,Biotechnology,1980,278.39,311.29,11.82
2025-01-27,APH,Amphenol,Information Technology,Electronic Components,1932,77.19,67.49,-12.57
2024-05-22,ADI,Analog Devices,Information Technology,Semiconductors,1965,216.64,240.16,10.86
2024-11-07,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,1954,24.73,21.93,-11.32
2024-08-02,APO,Apollo Global Management,Financials,Asset Management & Custody Banks,1990,115.97,103.53,-10.73
2024-07-17,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,1967,245.84,220.07,-10.48
2024-10-15,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,1967,213.89,191.02,-10.69
2024-05-02,APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,1994,69.75,77.79,11.53
2024-10-31,APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,1994,69.07,56.83,-17.72
2024-07-31,ANET,Arista Networks,Information Technology,Communications Equipment,2004,77.86,86.64,11.28
2025-01-27,ANET,Arista Networks,Information Technology,Communications Equipment,2004,129.17,100.3,-22.35
2024-08-07,AXON,Axon Enterprise,Industrials,Aerospace & Defense,1993,295.0,349.24,18.39
2024-11-08,AXON,Axon Enterprise,Industrials,Aerospace & Defense,1993,468.75,603.18,28.68
2025-02-19,AXON,Axon Enterprise,Industrials,Aerospace & Defense,1993,710.01,593.42,-16.42
2025-02-26,AXON,Axon Enterprise,Industrials,Aerospace & Defense,1993,496.65,572.4,15.25
2024-11-06,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2017,38.58,42.74,10.78
2024-05-30,BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,1966,71.9,81.55,13.42
2024-08-29,BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,1966,87.79,100.18,14.11
2025-03-04,BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,1966,86.74,75.2,-13.3
2024-05-01,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,1976,63.21,73.46,16.22
2024-07-26,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,1989 (1887),45.27,50.45,11.44
2024-11-11,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,1989 (1887),54.14,59.82,10.49
2024-06-13,AVGO,Broadcom,Information Technology,Semiconductors,1961,149.55,167.9,12.27
2024-07-31,AVGO,Broadcom,Information Technology,Semiconductors,1961,143.52,160.68,11.96
2024-09-06,AVGO,Broadcom,Information Technology,Semiconductors,1961,152.82,137.0,-10.35
2024-12-13,AVGO,Broadcom,Information Technology,Semiconductors,1961,180.66,224.8,24.43
2024-12-16,AVGO,Broadcom,Information Technology,Semiconductors,1961,224.8,250.0,11.21
2025-01-27,AVGO,Broadcom,Information Technology,Semiconductors,1961,244.7,202.13,-17.4
2024-05-07,BLDR,Builders FirstSource,Industrials,Building Products,1998,200.88,162.62,-19.05
2024-05-02,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,1905,72.09,80.93,12.26
2024-08-01,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,1905,89.05,102.21,14.78
2024-10-29,CDNS,Cadence Design Systems,Information Technology,Application Software,1988,252.77,284.45,12.53
2024-05-31,CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,1973,31.85,35.56,11.65
2024-11-06,COF,Capital One,Financials,Consumer Finance,1994,166.05,190.97,15.01
2024-05-01,CDW,CDW,Information Technology,Technology Distributors,1984,241.86,214.61,-11.27
2024-10-30,CDW,CDW,Information Technology,Technology Distributors,1984,219.9,195.06,-11.3
2024-11-05,CE,Celanese,Materials,Specialty Chemicals,1918,123.5,91.0,-26.32
2025-02-19,CE,Celanese,Materials,Specialty Chemicals,1918,69.91,54.91,-21.46
2025-03-05,CE,Celanese,Materials,Specialty Chemicals,1918,48.21,54.33,12.69
2024-08-07,CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,1947,228.8,199.96,-12.6
