Date,Symbol,Company Name,Sector,Sub-Industry,Founded,Previous Close,New Close,Change (%)
2024-11-06,CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,1947,188.68,214.2,13.53
2024-07-16,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,1971,75.07,67.43,-10.18
2024-07-26,CHTR,Charter Communications,Communication Services,Cable & Satellite,1993,315.23,367.62,16.62
2024-11-01,CHTR,Charter Communications,Communication Services,Cable & Satellite,1993,327.61,366.49,11.87
2024-12-19,CTAS,Cintas,Industrials,Diversified Support Services,1929,204.39,182.79,-10.57
2024-11-06,CFG,Citizens Financial Group,Financials,Regional Banks,1828,42.22,48.31,14.42
2025-01-30,CMCSA,Comcast,Communication Services,Cable & Satellite,1963,37.36,33.25,-11.0
2025-01-10,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,1945,219.28,181.81,-17.09
2024-07-31,CEG,Constellation Energy,Utilities,Electric Utilities,1999,168.69,189.8,12.51
2024-09-20,CEG,Constellation Energy,Utilities,Electric Utilities,1999,208.5,254.98,22.29
2024-11-04,CEG,Constellation Energy,Utilities,Electric Utilities,1999,258.1,225.95,-12.46
2025-01-10,CEG,Constellation Energy,Utilities,Electric Utilities,1999,243.84,305.19,25.16
2025-01-27,CEG,Constellation Energy,Utilities,Electric Utilities,1999,347.44,275.0,-20.85
2024-08-29,COO,Cooper Companies (The),Health Care,Health Care Supplies,1958,94.54,105.73,11.84
2024-11-22,CPRT,Copart,Industrials,Diversified Support Services,1982,56.9,62.7,10.19
2024-07-08,GLW,Corning Inc.,Information Technology,Electronic Components,1851,38.44,43.05,11.99
2024-06-05,CRWD,CrowdStrike,Information Technology,Systems Software,2011,305.58,342.18,11.98
2024-07-19,CRWD,CrowdStrike,Information Technology,Systems Software,2011,343.05,304.96,-11.1
2024-07-22,CRWD,CrowdStrike,Information Technology,Systems Software,2011,304.96,263.91,-13.46
2024-05-01,CVS,CVS Health,Health Care,Health Care Services,1996,67.71,56.31,-16.84
2024-11-06,CVS,CVS Health,Health Care,Health Care Services,1996,55.34,61.61,11.33
2025-02-12,CVS,CVS Health,Health Care,Health Care Services,1996,55.0,63.22,14.95
2024-12-19,DRI,Darden Restaurants,Consumer Discretionary,Restaurants,1938,159.87,183.44,14.74
2024-10-30,DVA,DaVita,Health Care,Health Care Services,1979,158.31,141.22,-10.8
2025-02-14,DVA,DaVita,Health Care,Health Care Services,1979,177.06,157.42,-11.09
2024-07-31,DAY,Dayforce,Industrials,Human Resource & Employment Services,1992,53.68,59.28,10.43
2024-05-24,DECK,Deckers Brands,Consumer Discretionary,Footwear,1973,150.77,172.15,14.18
2024-10-25,DECK,Deckers Brands,Consumer Discretionary,Footwear,1973,152.04,168.11,10.57
2025-01-31,DECK,Deckers Brands,Consumer Discretionary,Footwear,1973,223.11,177.36,-20.51
2024-05-15,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2016,134.12,149.16,11.21
2024-05-31,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2016,169.92,139.56,-17.87
2024-11-27,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2016,141.74,124.38,-12.25
2024-07-26,DXCM,Dexcom,Health Care,Health Care Equipment,1999,107.85,64.0,-40.66
2024-11-06,DFS,Discover Financial,Financials,Consumer Finance,1985,151.85,182.55,20.22
2024-08-29,DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,1939,123.84,84.03,-32.15
2024-08-29,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,1986,94.46,84.79,-10.24
2024-09-04,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,1986,81.65,63.56,-22.16
2024-07-18,DPZ,Domino's,Consumer Discretionary,Restaurants,1960,473.27,409.04,-13.57
2024-07-18,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,1978,157.51,173.42,10.1
2025-01-27,ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,1911,368.98,311.55,-15.56
2025-01-08,EIX,Edison International,Utilities,Electric Utilities,1886,77.38,69.5,-10.18
2025-01-13,EIX,Edison International,Utilities,Electric Utilities,1886,65.0,57.27,-11.89
2024-07-25,EW,Edwards Lifesciences,Health Care,Health Care Equipment,1958,86.95,59.7,-31.34
2025-01-23,EA,Electronic Arts,Communication Services,Interactive Home Entertainment,1982,142.35,118.58,-16.7
2024-10-17,ELV,Elevance Health,Health Care,Managed Health Care,2014 (1946),496.96,444.35,-10.59
2024-07-24,ENPH,Enphase Energy,Information Technology,Semiconductor Materials & Equipment,2006,103.64,116.91,12.8
2024-10-23,ENPH,Enphase Energy,Information Technology,Semiconductor Materials & Equipment,2006,92.23,78.47,-14.92
2024-11-06,ENPH,Enphase Energy,Information Technology,Semiconductor Materials & Equipment,2006,89.94,74.81,-16.82
2024-10-31,ETR,Entergy,Utilities,Electric Utilities,1913,67.2,77.39,15.16
2024-05-09,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,1993,249.2,181.93,-26.99
2024-11-07,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,1993,202.69,232.92,14.91
2025-02-20,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,1993,258.11,225.07,-12.8
2024-05-09,EQIX,Equinix,Real Estate,Data Center REITs,1998,692.71,772.43,11.51
2024-05-01,EL,Est̩e Lauder Companies (The),Consumer Staples,Personal Care Products,1946,146.71,127.37,-13.18
2024-09-26,EL,Est̩e Lauder Companies (The),Consumer Staples,Personal Care Products,1946,91.61,100.78,10.01
2024-10-31,EL,Est̩e Lauder Companies (The),Consumer Staples,Personal Care Products,1946,87.15,68.94,-20.9
2025-02-04,EL,Est̩e Lauder Companies (The),Consumer Staples,Personal Care Products,1946,82.77,69.47,-16.07
2024-05-03,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1996,136.09,115.33,-15.25
2024-08-09,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1996,117.97,130.01,10.21
2025-02-07,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1996,172.57,202.37,17.27
2024-07-30,FFIV,"F5, Inc.",Information Technology,Communications Equipment,1996,177.59,200.66,12.99
2024-10-29,FFIV,"F5, Inc.",Information Technology,Communications Equipment,1996,218.36,240.33,10.06
2025-01-29,FFIV,"F5, Inc.",Information Technology,Communications Equipment,1996,269.72,300.46,11.4
2024-06-26,FDX,FedEx,Industrials,Air Freight & Logistics,1971,256.38,296.19,15.53
2024-09-20,FDX,FedEx,Industrials,Air Freight & Logistics,1971,300.39,254.64,-15.23
2025-02-11,FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,1968,82.66,73.16,-11.49
2024-05-22,FSLR,First Solar,Information Technology,Semiconductors,1999,212.11,251.75,18.69
2024-05-24,FSLR,First Solar,Information Technology,Semiconductors,1999,249.81,276.74,10.78
2024-09-11,FSLR,First Solar,Information Technology,Semiconductors,1999,208.22,239.84,15.19
2024-11-06,FSLR,First Solar,Information Technology,Semiconductors,1999,215.89,194.02,-10.13
2025-02-27,FE,FirstEnergy,Utilities,Electric Utilities,1997,43.05,38.54,-10.48
2024-08-01,FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,1883,58.36,64.34,10.25
2024-10-30,FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,1883,60.18,66.62,10.7
2025-02-05,FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,1883,54.04,35.92,-33.53
2024-07-25,F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,1903,13.67,11.16,-18.36
2024-08-07,FTNT,Fortinet,Information Technology,Systems Software,2000,55.81,69.93,25.3
2024-08-21,BEN,Franklin Resources,Financials,Asset Management & Custody Banks,1947,22.62,19.78,-12.56
2025-01-31,BEN,Franklin Resources,Financials,Asset Management & Custody Banks,1947,20.15,22.24,10.37
2024-05-01,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,1989,144.47,163.42,13.12
2024-10-30,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,1989,166.27,204.92,23.25
2025-02-19,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,1989,214.78,241.93,12.64
2024-04-30,GEHC,GE HealthCare,Health Care,Health Care Equipment,1994,88.94,76.24,-14.28
2025-01-27,GEV,GE Vernova,Industrials,Heavy Electrical Equipment,2024,420.49,330.0,-21.52
2024-05-10,GEN,Gen Digital,Information Technology,Systems Software,1982,20.34,23.46,15.34
2024-04-18,GPC,Genuine Parts Company,Consumer Discretionary,Distributors,1925,144.07,160.23,11.22
2024-10-22,GPC,Genuine Parts Company,Consumer Discretionary,Distributors,1925,143.12,113.11,-20.97
2024-05-01,GPN,Global Payments,Financials,Transaction & Payment Processing Services,2000,122.77,109.06,-11.17
2024-04-11,GL,Globe Life,Financials,Life & Health Insurance,1900,104.93,49.17,-53.14
2024-04-12,GL,Globe Life,Financials,Life & Health Insurance,1900,49.17,59.09,20.17
2024-04-23,GL,Globe Life,Financials,Life & Health Insurance,1900,66.39,75.76,14.11
2025-02-14,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,1997,212.54,182.19,-14.28
2024-11-06,GS,Goldman Sachs,Financials,Investment Banking & Brokerage,1869,526.96,595.98,13.1
2024-04-24,HAS,Hasbro,Consumer Discretionary,Leisure Products,1923,58.14,65.03,11.85
2025-02-20,HAS,Hasbro,Consumer Discretionary,Leisure Products,1923,61.14,69.06,12.95
2024-12-09,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,1894,174.7,193.65,10.85
2024-06-05,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2015,17.6,19.48,10.68
2024-12-06,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2015,21.65,23.95,10.62
2025-03-07,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2015,17.96,15.81,-11.97
2025-02-06,HOLX,Hologic,Health Care,Health Care Equipment,1985,72.8,65.45,-10.1
2024-05-02,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,1888,66.78,77.1,15.45
2024-07-30,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,1888,82.85,93.81,13.23
2024-11-06,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,1888,102.16,114.86,12.43
2024-05-30,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1939 (2015),32.8,38.36,16.95
2024-11-27,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1939 (2015),39.1,34.66,-11.36
2024-04-02,HUM,Humana,Health Care,Managed Health Care,1961,351.45,304.33,-13.41
2024-07-31,HUM,Humana,Health Care,Managed Health Care,1961,404.52,361.61,-10.61
2024-10-01,HUM,Humana,Health Care,Managed Health Care,1961,316.74,279.45,-11.77
2024-10-02,HUM,Humana,Health Care,Managed Health Care,1961,279.45,246.49,-11.79
2024-11-06,HUM,Humana,Health Care,Managed Health Care,1961,260.6,288.51,10.71
2024-12-17,HUM,Humana,Health Care,Managed Health Care,1961,260.46,233.89,-10.2
2024-11-06,HBAN,Huntington Bancshares,Financials,Regional Banks,1866,15.54,17.52,12.74
2024-05-02,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2011,277.06,245.19,-11.5
2024-10-31,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2011,250.49,184.96,-26.16
2025-02-06,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2011,195.58,159.75,-18.32
2025-03-05,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2011,172.3,193.59,12.36
2025-01-30,IBM,IBM,Information Technology,IT Consulting & Other Services,1911,228.63,258.27,12.96
2025-02-03,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,1983,422.05,469.04,11.13
2024-10-29,INCY,Incyte,Health Care,Biotechnology,1991,65.69,73.6,12.04
2024-08-02,INTC,Intel,Information Technology,Semiconductors,1968,29.05,21.48,-26.06
2025-02-18,INTC,Intel,Information Technology,Semiconductors,1968,23.6,27.39,16.06
2025-03-13,INTC,Intel,Information Technology,Semiconductors,1968,20.68,23.7,14.6
2024-11-06,IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,1958 (1889),99.1,87.57,-11.63
2024-03-19,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,1898,34.94,38.77,10.96
2024-10-31,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,1898,49.03,55.54,13.28
2025-02-26,INTU,Intuit,Information Technology,Application Software,1983,555.63,625.51,12.58
2024-10-18,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,1995,473.73,521.15,10.01
2024-06-20,JBL,Jabil,Information Technology,Electronic Manufacturing Services,1966,126.23,111.79,-11.44
2024-09-26,JBL,Jabil,Information Technology,Electronic Manufacturing Services,1966,113.43,126.65,11.65
2025-02-05,JCI,Johnson Controls,Industrials,Building Products,1885,77.29,86.01,11.28
2024-11-06,JPM,JPMorgan Chase,Financials,Diversified Banks,2000 (1799 / 1871),221.49,247.06,11.54
2024-08-05,K,Kellanova,Consumer Staples,Packaged Foods & Meats,1906,62.98,73.2,16.23
2024-08-06,KVUE,Kenvue,Consumer Staples,Personal Care Products,2022 (Johnson & Johnson spinoff),18.19,20.86,14.68
2024-11-06,KEY,KeyCorp,Financials,Regional Banks,1825,17.26,19.97,15.7
2024-08-21,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2014 (1939),138.57,157.81,13.88
2024-06-10,KKR,KKR,Financials,Asset Management & Custody Banks,1976,97.99,108.95,11.18
2024-10-15,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,1975/1977 (1997),829.65,707.72,-14.7
2024-07-17,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,1980,107.6,96.77,-10.07
2024-10-15,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,1980,85.7,76.36,-10.9
2024-04-04,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2016 (1950),101.12,81.53,-19.37
2024-07-24,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2016 (1950),78.62,56.42,-28.24
2024-10-18,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2016 (1950),71.0,78.22,10.17
2024-12-19,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2016 (1950),78.22,62.5,-20.1
2025-01-30,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,1988,43.43,48.24,11.08
2024-11-14,LDOS,Leidos,Industrials,Diversified Support Services,1969,194.4,167.96,-13.6
2024-04-23,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,1998,48.93,41.65,-14.88
2024-07-25,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,1998,44.48,38.95,-12.43
2024-03-22,LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1998,478.84,403.19,-15.8
2024-12-06,LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1998,344.81,399.6,15.89
2024-11-06,MTB,M&T Bank,Financials,Regional Banks,1856,193.14,216.56,12.13
2024-07-31,MTCH,Match Group,Communication Services,Interactive Media & Services,1986,33.69,38.14,13.21
2024-11-07,MTCH,Match Group,Communication Services,Interactive Media & Services,1986,37.88,31.11,-17.87
2024-03-26,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,1889,69.94,77.3,10.52
2024-08-08,MCK,McKesson Corporation,Health Care,Health Care Distributors,1833,617.51,547.51,-11.34
2024-11-07,MCK,McKesson Corporation,Health Care,Health Care Distributors,1833,549.31,607.51,10.6
2024-04-25,META,Meta Platforms,Communication Services,Interactive Media & Services,2004,493.5,441.38,-10.56
2024-05-10,MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,1945,1290.42,1510.25,17.04
2024-08-01,MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,1986,42.97,37.29,-13.22
2024-10-31,MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,1986,41.41,36.87,-10.96
2025-02-13,MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,1986,34.37,40.37,17.46
2024-08-02,MCHP,Microchip Technology,Information Technology,Semiconductors,1989,84.37,75.43,-10.6
2025-03-10,MCHP,Microchip Technology,Information Technology,Semiconductors,1989,59.77,53.45,-10.57
2024-03-21,MU,Micron Technology,Information Technology,Semiconductors,1978,96.25,109.85,14.13
2024-09-26,MU,Micron Technology,Information Technology,Semiconductors,1978,95.77,109.88,14.73
2024-12-19,MU,Micron Technology,Information Technology,Semiconductors,1978,103.9,87.09,-16.18
2025-01-06,MU,Micron Technology,Information Technology,Semiconductors,1978,89.87,99.26,10.45
2025-01-27,MU,Micron Technology,Information Technology,Semiconductors,1978,103.19,91.11,-11.71
2024-05-02,MRNA,Moderna,Health Care,Biotechnology,2010,111.46,125.59,12.68
2024-05-22,MRNA,Moderna,Health Care,Biotechnology,2010,143.69,163.33,13.67
2024-06-26,MRNA,Moderna,Health Care,Biotechnology,2010,137.6,122.45,-11.01
2024-08-01,MRNA,Moderna,Health Care,Biotechnology,2010,119.22,94.17,-21.01
2024-09-12,MRNA,Moderna,Health Care,Biotechnology,2010,79.51,69.68,-12.36
2025-01-07,MRNA,Moderna,Health Care,Biotechnology,2010,42.57,47.53,11.65
2025-01-13,MRNA,Moderna,Health Care,Biotechnology,2010,42.25,35.15,-16.8
2025-01-23,MRNA,Moderna,Health Care,Biotechnology,2010,38.5,42.39,10.1
2025-03-05,MRNA,Moderna,Health Care,Biotechnology,2010,30.37,35.21,15.94
2024-07-26,MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,1878,134.5,160.71,19.49
2024-10-25,MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,1878,151.87,130.88,-13.82
2024-07-25,MOH,Molina Healthcare,Health Care,Managed Health Care,1980,288.72,324.17,12.28
2024-10-17,MOH,Molina Healthcare,Health Care,Managed Health Care,1980,331.0,289.46,-12.55
2024-10-24,MOH,Molina Healthcare,Health Care,Managed Health Care,1980,275.0,323.59,17.67
2025-02-06,MOH,Molina Healthcare,Health Care,Managed Health Care,1980,317.01,285.01,-10.09
2024-07-31,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,1997,781.85,863.09,10.39
2024-08-08,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,1997,757.04,843.52,11.42
2024-09-03,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,1997,934.68,838.63,-10.28
2024-10-31,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,1997,919.81,759.3,-17.45
2024-11-11,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,1997,761.3,647.31,-14.97
2025-01-27,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,1997,678.43,600.79,-11.44
2024-08-08,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2012 (1935),50.53,45.01,-10.92
2024-11-06,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,1935,117.81,131.49,11.61
2024-04-23,MSCI,MSCI,Financials,Financial Exchanges & Data,1969,515.17,446.0,-13.43
2025-02-28,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",1992,118.22,99.81,-15.57
2024-10-18,NFLX,Netflix,Communication Services,Movies & Entertainment,1997,687.65,763.89,11.09
2024-04-25,NEM,Newmont,Materials,Gold,1921,38.6,43.41,12.46
2024-10-24,NEM,Newmont,Materials,Gold,1921,57.74,49.25,-14.7
2024-06-28,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1964,94.19,75.37,-19.98
2024-07-26,NSC,Norfolk Southern,Industrials,Rail Transportation,1881/1894 (1980),222.9,247.22,10.91
2024-05-01,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2011 (1966),18.92,16.08,-15.01
2024-10-09,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2011 (1966),20.8,23.07,10.91
2024-11-26,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,1992,91.87,101.16,10.11
2025-01-27,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,1992,112.37,97.49,-13.24
2025-02-26,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,1992,102.44,113.33,10.63
2024-11-06,NUE,Nucor,Materials,Steel,1940,144.61,167.74,15.99
2024-04-19,NVDA,Nvidia,Information Technology,Semiconductors,1993,84.67,76.2,-10.0
2024-07-31,NVDA,Nvidia,Information Technology,Semiconductors,1993,103.73,117.02,12.81
2025-01-27,NVDA,Nvidia,Information Technology,Semiconductors,1993,142.62,118.42,-16.97
2024-04-24,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,1934,219.28,195.06,-11.05
2024-11-06,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,1934,207.01,230.18,11.19
2024-12-09,OMC,Omnicom Group,Communication Services,Advertising,1986,103.42,92.82,-10.25
2024-07-29,ON,ON Semiconductor,Information Technology,Semiconductors,1999,70.17,78.27,11.54
2024-06-12,ORCL,Oracle Corporation,Information Technology,Application Software,1977,123.88,140.38,13.32
2024-09-10,ORCL,Oracle Corporation,Information Technology,Application Software,1977,139.89,155.89,11.44
2025-01-27,ORCL,Oracle Corporation,Information Technology,Application Software,1977,183.6,158.28,-13.79
2024-07-23,PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,1905,109.06,97.1,-10.97
